chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
92163720350505,7864131,1147422402,1,AUTORIZADO,Autorizado
70648512590640,7979286,1147356185,2,AUTORIZADO,Autorizado
503058529002910,6926014,1147166745,2,AUTORIZADO,Autorizado
92163820350505,6670429,1147370209,2,AUTORIZADO,Autorizado
20940460300630,8009944,1147393746,3,AUTORIZADO,Autorizado
20940460300630,7725852,1147393746,3,AUTORIZADO,Autorizado
20940460300630,6970314,1147393746,3,AUTORIZADO,Autorizado
970363750620,6652555,1147429498,14,AUTORIZADO,Autorizado
92163920350505,7864346,1147389871,2,AUTORIZADO,Autorizado
92164020350505,7869891,1147376840,1,AUTORIZADO,Autorizado
92164020350505,7674877,1147376840,1,AUTORIZADO,Autorizado
970364750620,6470487,1147407500,3,AUTORIZADO,Autorizado
20940660300630,7957284,1147395097,10,AUTORIZADO,Autorizado
20940760300630,7967627,1147426986,1,AUTORIZADO,Autorizado
92164120350505,6310998,1147383928,2,AUTORIZADO,Autorizado
20940860300630,7886058,1147422198,3,AUTORIZADO,Autorizado
20940860300630,7871122,1147422198,2,AUTORIZADO,Autorizado
20940960300630,7900136,1147419566,1,AUTORIZADO,Autorizado
20940960300630,7740756,1147419566,1,AUTORIZADO,Autorizado
970365750620,6652555,1147429208,12,AUTORIZADO,Autorizado
70648612590640,7979286,1147358856,2,AUTORIZADO,Autorizado
92164220350505,6586782,1147372475,2,AUTORIZADO,Autorizado
92164220350505,6582104,1147372475,2,AUTORIZADO,Autorizado
20941160300630,7856396,1147399371,1,AUTORIZADO,Autorizado
20941160300630,6546632,1147399371,1,AUTORIZADO,Autorizado
503061529002910,6676490,1147415683,1,AUTORIZADO,Autorizado
70648712590640,7808340,1147445962,1,AUTORIZADO,Autorizado
970366750620,5862924,1147399457,5,AUTORIZADO,Autorizado
20941260300630,5595761,1147278651,3,AUTORIZADO,Autorizado
20941260300630,5595907,1147278651,1,AUTORIZADO,Autorizado
64980319991720,7585548,1147374390,4,AUTORIZADO,Autorizado
64980319991720,7936685,1147374390,2,AUTORIZADO,Autorizado
64980319991720,7791819,1147374390,2,AUTORIZADO,Autorizado
64980319991720,7585371,1147374390,5,AUTORIZADO,Autorizado
64980319991720,7585388,1147374390,3,AUTORIZADO,Autorizado
64980319991720,7791802,1147374390,3,AUTORIZADO,Autorizado
70648812590640,7560361,1147347332,2,AUTORIZADO,Autorizado
70648912590640,5497652,1147346269,1,AUTORIZADO,Autorizado
808753526502650,7890659,1147286056,1,AUTORIZADO,Autorizado
503062529002910,5870516,1147359246,4,AUTORIZADO,Autorizado
20941760300630,7831614,1147417015,2,AUTORIZADO,Autorizado
70649012590640,5548279,1147369472,1,AUTORIZADO,Autorizado
970367750620,6437053,1147377349,2,AUTORIZADO,Autorizado
970367750620,7835957,1147377349,1,AUTORIZADO,Autorizado
92164620350505,7943188,1147375333,5,AUTORIZADO,Autorizado
20941960300630,7259906,1147402547,2,AUTORIZADO,Autorizado
70649112590640,7560361,1147363463,2,AUTORIZADO,Autorizado
473967711001100,7924231,1147282729,1,AUTORIZADO,Autorizado
20942060300630,5870493,1147428736,3,AUTORIZADO,Autorizado
503063529002910,7826382,1147385594,1,AUTORIZADO,Autorizado
503063529002910,5866151,1147385594,1,AUTORIZADO,Autorizado
20942260300630,5870462,1147380113,3,AUTORIZADO,Autorizado
92164720350505,6184056,1147381430,8,AUTORIZADO,Autorizado
503064529002910,7636370,1147355398,3,AUTORIZADO,Autorizado
20942460300630,7585364,1147356431,1,AUTORIZADO,Autorizado
20942460300630,7916496,1147356431,1,AUTORIZADO,Autorizado
20942560300630,7908101,1147382970,1,AUTORIZADO,Autorizado
20942760300630,7935046,1147388922,1,AUTORIZADO,Autorizado
20942660300630,6912307,1147412793,4,AUTORIZADO,Autorizado
20942960300630,6627195,1147421383,1,AUTORIZADO,Autorizado
20942860300630,7943164,1147418637,1,AUTORIZADO,Autorizado
20943160300630,6715311,1147422264,1,AUTORIZADO,Autorizado
20943060300630,7588501,1147426548,1,AUTORIZADO,Autorizado
20943360300630,4814191,1147391428,1,AUTORIZADO,Autorizado
20943760300630,7908118,1147421757,1,AUTORIZADO,Autorizado
20943660300630,7588501,1147417186,1,AUTORIZADO,Autorizado
20943460300630,7588501,1147428098,1,AUTORIZADO,Autorizado
20943560300630,7849343,1147417179,1,AUTORIZADO,Autorizado
20943960300630,7197215,1147423766,1,AUTORIZADO,Autorizado
20944060300630,5938070,1147405676,1,AUTORIZADO,Autorizado
20943860300630,7795787,1147416994,1,AUTORIZADO,Autorizado
20944160300630,7908101,1147405349,1,AUTORIZADO,Autorizado
20944460300630,7588501,1147412475,1,AUTORIZADO,Autorizado
20944560300630,7709449,1147422306,1,AUTORIZADO,Autorizado
20944260300630,7849077,1147422630,1,AUTORIZADO,Autorizado
20944960300630,7908101,1147424953,1,AUTORIZADO,Autorizado
20945060300630,7598593,1147420407,1,AUTORIZADO,Autorizado
70649212590640,7855009,1147416849,3,AUTORIZADO,Autorizado
92164820350505,5863372,1147372489,7,AUTORIZADO,Autorizado
20945160300630,7194740,1147383126,1,AUTORIZADO,Autorizado
503065529002910,7636370,1147383951,3,AUTORIZADO,Autorizado
20945260300630,7752261,1147424255,4,AUTORIZADO,Autorizado
854403352005210,6347048,1147412221,1,AUTORIZADO,Autorizado
854402352005210,7755477,1147422046,1,AUTORIZADO,Autorizado
854404352005210,7601750,1147413755,1,AUTORIZADO,Autorizado
854405352005210,7751837,1147411415,1,AUTORIZADO,Autorizado
854407352005210,7878183,1147385675,1,AUTORIZADO,Autorizado
854406352005210,6634681,1147427273,1,AUTORIZADO,Autorizado
854408352005210,7894862,1147426812,1,AUTORIZADO,Autorizado
854409352005210,7894800,1147390680,1,AUTORIZADO,Autorizado
854410352005210,7419935,1147319346,1,AUTORIZADO,Autorizado
854411352005210,6470340,1147378172,1,AUTORIZADO,Autorizado
854413352005210,7751837,1147283095,1,AUTORIZADO,Autorizado
854412352005210,7419935,1147423475,1,AUTORIZADO,Autorizado
854414352005210,7600043,1147370763,1,AUTORIZADO,Autorizado
854415352005210,7953125,1147354173,1,AUTORIZADO,Autorizado
854417352005210,7235122,1147397421,1,AUTORIZADO,Autorizado
854416352005210,7669453,1147403437,1,AUTORIZADO,Autorizado
854419352005210,6281274,1147354803,1,AUTORIZADO,Autorizado
854418352005210,7921698,1147355374,1,AUTORIZADO,Autorizado
20945360300630,7934438,1147392875,2,AUTORIZADO,Autorizado
854420352005210,7642241,1147428436,1,AUTORIZADO,Autorizado
854421352005210,7601897,1147213018,1,AUTORIZADO,Autorizado
854422352005210,7943614,1147423247,1,AUTORIZADO,Autorizado
854423352005210,7833229,1147416774,1,AUTORIZADO,Autorizado
854425352005210,2846378,1147397431,1,AUTORIZADO,Autorizado
854424352005210,6735265,1147349512,1,AUTORIZADO,Autorizado
312279925002500,6728540,1147249575,1,AUTORIZADO,Autorizado
20945460300630,7871122,1147347170,2,AUTORIZADO,Autorizado
854427352005210,5418602,1147366390,1,AUTORIZADO,Autorizado
854426352005210,7936784,1147265938,1,AUTORIZADO,Autorizado
854428352005210,7669453,1147285257,1,AUTORIZADO,Autorizado
854429352005210,7669453,1147332510,1,AUTORIZADO,Autorizado
854430352005210,7836053,1147392138,1,AUTORIZADO,Autorizado
854431352005210,7936784,1147357991,1,AUTORIZADO,Autorizado
20945560300630,6677756,1147424650,2,AUTORIZADO,Autorizado
854432352005210,7755477,1147365134,1,AUTORIZADO,Autorizado
854433352005210,7743658,1147261941,1,AUTORIZADO,Autorizado
658359694950,4813323,1147329599,1,AUTORIZADO,Autorizado
854434352005210,7997037,1147337663,1,AUTORIZADO,Autorizado
854436352005210,7833229,1147357463,1,AUTORIZADO,Autorizado
854435352005210,7836053,1147378277,1,AUTORIZADO,Autorizado
70649512590640,7620324,1147421373,2,AUTORIZADO,Autorizado
20945760300630,7765582,1147423350,1,AUTORIZADO,Autorizado
70649612590640,7855009,1147363692,10,AUTORIZADO,Autorizado
70649712590640,7426469,1147265282,1,AUTORIZADO,Autorizado
20945860300630,7934056,1147443281,1,AUTORIZADO,Autorizado
70650112590640,7928055,1147373023,3,AUTORIZADO,Autorizado
503066529002910,7826856,1147373153,3,AUTORIZADO,Autorizado
20945960300630,5870516,1147416240,2,AUTORIZADO,Autorizado
20946060300630,7672880,1147397438,2,AUTORIZADO,Autorizado
23284921590640,7478017,1147130759,1,AUTORIZADO,Autorizado
23284921590640,7956102,1147130759,1,AUTORIZADO,Autorizado
503067529002910,7826528,1147379480,1,AUTORIZADO,Autorizado
503067529002910,7671579,1147379480,1,AUTORIZADO,Autorizado
503067529002910,6297008,1147379480,1,AUTORIZADO,Autorizado
20946260300630,7934056,1147424066,1,AUTORIZADO,Autorizado
20946360300630,7779695,1147387710,2,AUTORIZADO,Autorizado
503069529002910,7791819,1147418377,2,AUTORIZADO,Autorizado
20946560300630,7585548,1147421392,7,AUTORIZADO,Autorizado
20946460300630,7585548,1147421737,7,AUTORIZADO,Autorizado
20946660300630,7756689,1147383136,1,AUTORIZADO,Autorizado
20946860300630,7766244,1147417094,1,AUTORIZADO,Autorizado
20946960300630,7868825,1147419445,1,AUTORIZADO,Autorizado
20947060300630,7943171,1147376455,3,AUTORIZADO,Autorizado
20947060300630,7768408,1147376455,1,AUTORIZADO,Autorizado
20947260300630,5140442,1147424062,1,AUTORIZADO,Autorizado
503070529002910,7955440,1147396928,3,AUTORIZADO,Autorizado
20947460300630,7585463,1147358857,1,AUTORIZADO,Autorizado
20947460300630,7585487,1147358857,1,AUTORIZADO,Autorizado
20947560300630,5595976,1147386123,4,AUTORIZADO,Autorizado
70650212590640,6569570,1147430138,2,AUTORIZADO,Autorizado
312308925002500,7972362,1147159132,1,AUTORIZADO,Autorizado
20947660300630,6853440,1147415640,4,AUTORIZADO,Autorizado
20947760300630,7626937,1147449764,1,AUTORIZADO,Autorizado
20947860300630,7856396,1147321193,2,AUTORIZADO,Autorizado
70650812590640,6526092,1147410643,1,AUTORIZADO,Autorizado
70650712590640,7844508,1147358056,1,AUTORIZADO,Autorizado
70651012590640,6526092,1147416214,1,AUTORIZADO,Autorizado
70650912590640,7844508,1147352349,1,AUTORIZADO,Autorizado
70651112590640,6762087,1147374935,1,AUTORIZADO,Autorizado
70651212590640,7832307,1147308366,1,AUTORIZADO,Autorizado
70651312590640,7813733,1147365128,1,AUTORIZADO,Autorizado
20948060300630,7949999,1147449160,1,AUTORIZADO,Autorizado
70651712590640,7855009,1147363669,10,AUTORIZADO,Autorizado
70651812590640,7940224,1147436525,1,AUTORIZADO,Autorizado
70651812590640,7940293,1147436525,1,AUTORIZADO,Autorizado
20948160300630,7869020,1147179582,1,AUTORIZADO,Autorizado
20948260300630,7869020,1147247138,1,AUTORIZADO,Autorizado
20948360300630,7585371,1147202165,5,AUTORIZADO,Autorizado
20948360300630,7585548,1147202165,3,AUTORIZADO,Autorizado
20948560300630,7869020,1147252535,1,AUTORIZADO,Autorizado
658452694950,7936746,1147332418,1,AUTORIZADO,Autorizado
20948660300630,7777066,1147439364,2,AUTORIZADO,Autorizado
20948760300630,7561993,1147448017,1,AUTORIZADO,Autorizado
20948860300630,7585548,1147351562,2,AUTORIZADO,Autorizado
257753294950,7744365,1147403674,1,AUTORIZADO,Autorizado
808862526502650,7458187,1147309080,1,AUTORIZADO,Autorizado
808862526502650,7642197,1147309080,1,AUTORIZADO,Autorizado
20948960300630,7940408,1147425226,1,AUTORIZADO,Autorizado
20948960300630,5754144,1147425226,2,AUTORIZADO,Autorizado
20949060300630,7855030,1147356243,2,AUTORIZADO,Autorizado
808872526502650,7936524,1146833408,1,AUTORIZADO,Autorizado
20949160300630,7956263,1147419168,1,AUTORIZADO,Autorizado
808880526502650,7913976,1146841007,1,AUTORIZADO,Autorizado
20949260300630,7935909,1147422378,1,AUTORIZADO,Autorizado
20949360300630,7430312,1147349132,1,AUTORIZADO,Autorizado
20949460300630,6182168,1147358299,1,AUTORIZADO,Autorizado
20949560300630,6911294,1147358406,1,AUTORIZADO,Autorizado
20949660300630,5669349,1147369287,1,AUTORIZADO,Autorizado
20949760300630,7969287,1147390355,1,AUTORIZADO,Autorizado
20949860300630,5595976,1147408321,3,AUTORIZADO,Autorizado
20950060300630,7966453,1147426906,1,AUTORIZADO,Autorizado
20950160300630,7585548,1147419851,4,AUTORIZADO,Autorizado
20950260300630,7998263,1147398603,1,AUTORIZADO,Autorizado
20950260300630,7916496,1147398603,1,AUTORIZADO,Autorizado
20950360300630,6651336,1147393646,1,AUTORIZADO,Autorizado
20950360300630,5595761,1147393646,1,AUTORIZADO,Autorizado
20950360300630,5595976,1147393646,1,AUTORIZADO,Autorizado
20950460300630,7777028,1147423773,2,AUTORIZADO,Autorizado
70653412590640,7905131,1147402489,1,AUTORIZADO,Autorizado
20950560300630,6410193,1147418108,1,AUTORIZADO,Autorizado
20950660300630,7741036,1147411444,1,AUTORIZADO,Autorizado
20950760300630,7124389,1147402090,1,AUTORIZADO,Autorizado
20950960300630,7269769,1147380517,1,AUTORIZADO,Autorizado
20951060300630,6138912,1147356429,1,AUTORIZADO,Autorizado
20951160300630,6692506,1147413326,1,AUTORIZADO,Autorizado
20951360300630,6441197,1147417544,1,AUTORIZADO,Autorizado
20951460300630,6410193,1147417101,1,AUTORIZADO,Autorizado
20951560300630,7814068,1147191014,1,AUTORIZADO,Autorizado
20951760300630,7636264,1147405083,5,AUTORIZADO,Autorizado
64982019991720,6526153,1147356863,5,AUTORIZADO,Autorizado
64982119991720,6311001,1147399839,4,AUTORIZADO,Autorizado
20951860300630,7914195,1147423509,1,AUTORIZADO,Autorizado
20952160300630,5661039,1147420124,1,AUTORIZADO,Autorizado
64982219991720,6641597,1147422618,2,AUTORIZADO,Autorizado
92166220350505,7868993,1147413745,1,AUTORIZADO,Autorizado
20952460300630,7956607,1147421132,1,AUTORIZADO,Autorizado
64982319991720,6641597,1147393296,2,AUTORIZADO,Autorizado
92166320350505,7868993,1147398996,1,AUTORIZADO,Autorizado
20952560300630,7914195,1147404286,1,AUTORIZADO,Autorizado
20952760300630,7914195,1147388010,1,AUTORIZADO,Autorizado
64982419991720,6641597,1147314791,2,AUTORIZADO,Autorizado
92166420350505,7868993,1147386961,1,AUTORIZADO,Autorizado
20952960300630,7897030,1147413769,1,AUTORIZADO,Autorizado
20953160300630,7897092,1147421102,1,AUTORIZADO,Autorizado
92166520350505,7868962,1147380416,1,AUTORIZADO,Autorizado
20953260300630,7897092,1147426577,1,AUTORIZADO,Autorizado
92166620350505,7868993,1147410648,1,AUTORIZADO,Autorizado
20953560300630,7897092,1147409616,1,AUTORIZADO,Autorizado
20953660300630,8016393,1147381482,1,AUTORIZADO,Autorizado
20953660300630,8016515,1147381482,1,AUTORIZADO,Autorizado
20953760300630,7897092,1147424993,1,AUTORIZADO,Autorizado
70654512590640,6902087,1147355889,1,AUTORIZADO,Autorizado
20953860300630,7897092,1147406115,1,AUTORIZADO,Autorizado
92166820350505,7868993,1147418416,1,AUTORIZADO,Autorizado
20954060300630,6651350,1147408176,1,AUTORIZADO,Autorizado
70654612590640,7918551,1147422969,1,AUTORIZADO,Autorizado
92166920350505,7868993,1147407141,1,AUTORIZADO,Autorizado
20954160300630,7129261,1147410752,1,AUTORIZADO,Autorizado
20954360300630,6975425,1147408819,1,AUTORIZADO,Autorizado
658837418001800,7901768,1145875171,1,AUTORIZADO,Autorizado
20954460300630,6975425,1147422590,1,AUTORIZADO,Autorizado
92167020350505,7868993,1147358367,1,AUTORIZADO,Autorizado
20954660300630,7934056,1147425062,1,AUTORIZADO,Autorizado
92167120350505,7868993,1147398994,1,AUTORIZADO,Autorizado
92167220350505,7868993,1147357749,1,AUTORIZADO,Autorizado
70656812590640,7802775,1147387233,1,AUTORIZADO,Autorizado
92167320350505,7868993,1147356357,1,AUTORIZADO,Autorizado
70657412590640,5706594,1147425425,1,AUTORIZADO,Autorizado
70657512590640,7589683,1147354685,1,AUTORIZADO,Autorizado
70657912590640,5331123,1147296170,1,AUTORIZADO,Autorizado
70657812590640,6652500,1147422999,1,AUTORIZADO,Autorizado
70658112590640,6297046,1147270559,1,AUTORIZADO,Autorizado
70658012590640,7940064,1147379867,1,AUTORIZADO,Autorizado
70658312590640,7548307,1147328972,1,AUTORIZADO,Autorizado
70658412590640,7907524,1147290337,1,AUTORIZADO,Autorizado
70658912590640,7940064,1147358133,1,AUTORIZADO,Autorizado
70658712590640,8010520,1147375332,1,AUTORIZADO,Autorizado
70659012590640,7751639,1147406990,1,AUTORIZADO,Autorizado
70658812590640,7979286,1147421310,1,AUTORIZADO,Autorizado
70659212590640,7826665,1147261825,1,AUTORIZADO,Autorizado
70659312590640,5505142,1147283845,1,AUTORIZADO,Autorizado
70659912590640,7453755,1147409645,1,AUTORIZADO,Autorizado
70659612590640,5505135,1147245745,1,AUTORIZADO,Autorizado
70659812590640,7940064,1147342574,1,AUTORIZADO,Autorizado
70659712590640,6202477,1147405646,1,AUTORIZADO,Autorizado
70660112590640,7620324,1147356857,1,AUTORIZADO,Autorizado
70660512590640,7453755,1147343351,1,AUTORIZADO,Autorizado
70660712590640,5505135,1147419428,1,AUTORIZADO,Autorizado
70660612590640,7955389,1147366492,1,AUTORIZADO,Autorizado
70660812590640,5505135,1147423184,1,AUTORIZADO,Autorizado
70661212590640,7855009,1147418706,1,AUTORIZADO,Autorizado
70661112590640,7979170,1147354951,1,AUTORIZADO,Autorizado
70661012590640,7907524,1147383860,1,AUTORIZADO,Autorizado
